ID, Cloth ID,Age,Review,Rating,Category
129,863,28,Great top,5,Knits
130,845,62,,4,Blouses
131,1081,39,Just ok,3,Dresses
132,861,46,Pernette henley,4,Knits
133,966,36,Stylish and versatile!,5,Jackets
134,845,65,You'll smile on a humid summer's day,5,Blouses
135,861,35,,4,Knits
136,966,31,A new staple for my wardrobe,4,Jackets
137,836,52,Runs short,4,Blouses
138,126,34,Feminine alternative to your shapeless puffer,4,Lounge
139,1008,31,Love. love. love this skirt!!,5,Skirts
140,829,36,Pretry top,5,Blouses
141,828,39,,4,Blouses
142,1126,35,,5,Outerwear
143,1008,51,Great classic,5,Skirts
144,829,39,"Beautiful, but scratchy",3,Blouses
145,828,39,On the fence,3,Blouses
146,1008,39,"So pretty, a bit long and bigger than what i read",5,Skirts
147,1011,47,Cute skirt!,5,Skirts
148,1008,64,Very pretty,5,Skirts
149,1008,38,A beautiful skirt!,5,Skirts
150,1008,36,Gorgeous skirt!,5,Skirts
151,1008,39,Beautiful,4,Skirts
152,829,53,Not impressed...,3,Blouses
153,829,36,Fair,3,Blouses
154,829,44,Great colors but....,3,Blouses
155,829,48,Beautiful colors,5,Blouses
156,1008,37,,5,Skirts
157,523,43,Australian sizing!!,3,Swim
158,829,53,,4,Blouses
159,829,33,Vibrant metallic,4,Blouses
160,1126,39,So sad not mine,4,Outerwear
161,829,52,"Scratchy, uncomfortable top",1,Blouses
162,829,64,Yes it's scratchy but it can work out!,4,Blouses
163,1008,52,Classy and cute,5,Skirts
164,1126,42,So pretty!,4,Outerwear
165,829,35,,3,Blouses
166,1020,56,Just as pictured,5,Skirts
167,895,55,Great purchase,5,Fine gauge
168,862,40,,5,Knits
169,1104,47,Antoher beautiful maeve dress!,5,Dresses
170,670,36,Fun,5,Sleep
171,329,46,Comfy and adorable!,5,Sleep
172,670,66,Beautiful fabric and style,4,Sleep
173,868,51,Great for summer,4,Knits
174,1020,34,Wonderful but going back,5,Skirts
175,862,30,"Comfy, casual shirt",4,Knits
176,895,43,Perfect casual sweater,5,Fine gauge
177,895,52,,5,Fine gauge
178,1094,35,Not for me,2,Dresses
179,895,41,Perfect for warmer climates,5,Fine gauge
180,895,39,Need petite,5,Fine gauge
181,1020,39,Fun,4,Skirts
182,895,50,Completes so many outfits!,5,Fine gauge
183,1020,27,Size up!,4,Skirts
184,895,33,Not as pictured.,2,Fine gauge
185,895,35,"Fits strange, flimsy material",2,Fine gauge
186,1020,34,"Nice color, love the snap buttons",4,Skirts
187,596,41,Modern comfort,5,Trend
188,1094,54,"It's gorgeous, but...",4,Dresses
189,1020,41,Runs very small,4,Skirts
190,895,47,Pretty,4,Fine gauge
191,895,52,Nice but too thin,2,Fine gauge
192,895,46,,5,Fine gauge
193,1020,22,,5,Skirts
194,1098,40,,3,Dresses
195,895,62,Lovely and feminine,5,Fine gauge
196,862,26,A great piece,5,Knits
197,1020,38,Love everything about this skirt,5,Skirts
198,895,53,Perfect comfy now top!,5,Fine gauge
199,1020,49,Poor quality,3,Skirts
200,895,43,Huuuuge,3,Fine gauge
201,895,36,,5,Fine gauge
202,895,36,Not worth cost,3,Fine gauge
203,895,63,Tunic doesn't look like i am covering up,5,Fine gauge
204,828,56,Too big,4,Blouses
205,1020,48,Runs small too bad....,3,Skirts
206,862,43,,5,Knits
207,1020,44,Skirt dimensions are off,4,Skirts
208,895,40,,5,Fine gauge
209,862,44,,1,Knits
210,895,54,Comfort & style,5,Fine gauge
211,1020,72,,4,Skirts
212,1075,52,Classic,4,Dresses
213,1104,47,My new favorite dress,5,Dresses
214,1020,67,Not as pictured!,1,Skirts
215,1094,39,Autumn fever,5,Dresses
216,305,46,Very small,2,Swim
217,828,64,Too cute to pass up!,5,Blouses
218,1094,30,Falling goddess,5,Dresses
219,828,38,,5,Blouses
220,895,36,Pretty and comfy,4,Fine gauge
221,1020,52,Perfect skirt,5,Skirts
222,895,61,,5,Fine gauge
223,647,29,"Easy, comfy & cute",5,Lounge
224,1025,38,,4,Jeans
225,1025,35,Gorgeous,5,Jeans
226,815,55,Pretty,5,Blouses
227,1066,57,Great crop pant,4,Pants
228,840,55,Cute,4,Blouses
229,1026,39,Why so long?,4,Jeans
230,840,39,"Runs large, bohemian",5,Blouses
231,1066,46,"Wonderful weight for summer, flattering",5,Pants
232,840,37,Light & large,2,Blouses
233,1030,29,"Must have, right on trend, but still classic",5,Jeans
234,840,83,Pretty but runs large!,5,Blouses
235,1066,29,Comfortable & stylish crop pants,5,Pants
236,647,49,Cozy sunday!,5,Lounge
237,1066,42,Not what i expected,2,Pants
238,872,63,Fun change from the norm,5,Knits
239,840,56,,3,Blouses
240,1066,55,Perfect for mediterenian summer,4,Pants
241,647,32,"Loved this, then washed it twice and it fell apart",1,Lounge
242,1066,26,Super flattering,5,Pants
243,840,60,,4,Blouses
244,1066,48,Recommend but not for me,3,Pants
245,872,38,Love this!,5,Knits
246,1066,49,Cute but small,3,Pants
247,1115,41,Really nice sweater coat,4,Outerwear
248,1030,28,,5,Jeans
249,1018,28,,4,Skirts
250,1026,48,Perfect,5,Jeans
251,840,32,Very cute top,5,Blouses
252,1066,29,Super cute pants,5,Pants
253,647,32,"Cute, casual dress",5,Lounge
254,840,28,,5,Blouses
255,840,51,Runs big!,4,Blouses
256,840,44,Stylish and understated elegant,5,Blouses
257,1018,43,Pockets!,4,Skirts
258,840,48,Fits like a maternity top,3,Blouses
259,824,37,Love this top,5,Blouses
260,1115,31,Love this coat!,5,Outerwear
261,840,50,Adorable and flattering,5,Blouses
262,878,47,"Cute, but no go!",3,Knits
263,984,56,Pretty denim jacket,5,Jackets
264,1104,25,Amazing peach color!,5,Dresses
265,878,63,,4,Knits
266,1104,54,Perfection.,5,Dresses
267,984,28,Nice quality but too short for my tall frame,4,Jackets
268,866,26,"Cute top, but back is more of a jersey material",4,Knits
269,1104,29,,5,Dresses
270,868,61,Nice color,3,Knits
271,984,45,Perfect jean jacket,5,Jackets
272,984,39,Great asset,5,Jackets
273,1104,36,Gorgeous,5,Dresses
274,878,41,Comfy and fun!,5,Knits
275,1182,37,Great tee,5,Knits
276,868,55,Pretty and feminine,5,Knits
277,868,83,Sooooooooo cute!,5,Knits
278,868,35,Peplum hem tee,3,Knits
279,565,38,,5,Trend
280,984,35,So comfortable and chic,5,Jackets
281,1104,45,,5,Dresses
282,868,65,,5,Knits
283,878,41,Perfect sweatshirt,5,Knits
284,868,69,Clever white edges,4,Knits
285,1104,36,Love this dress!,5,Dresses
286,868,42,,2,Knits
287,984,69,,5,Jackets
288,878,46,"Not much structure, boxy...",2,Knits
289,984,55,Almost perfect denim jacket,5,Jackets
290,984,36,Perfect,5,Jackets
291,984,71,,5,Jackets
292,1024,65,Super nice,5,Jeans
293,984,68,I wish it were alless stiff denim. runs small,3,Jackets
294,984,43,Terrific denim jacket,5,Jackets
295,1104,30,,5,Dresses
296,1024,40,Cute versatile culottes,5,Jeans
297,984,47,My new favorite denim jacket,5,Jackets
298,1104,39,,5,Dresses
299,984,34,Favorite jean jacket,5,Jackets
300,1104,38,,4,Dresses
301,984,38,Perfect denim jacket,5,Jackets
302,895,36,,5,Fine gauge
303,1104,41,Best dress ever!,5,Dresses
304,1131,36,Stylish jacket,3,Outerwear
305,984,47,Adorable!,5,Jackets
306,1104,63,"Stunning, flattering, and versatile.",5,Dresses
307,831,35,Pretty blouse!,5,Blouses
308,984,35,Too distressed,4,Jackets
309,1104,56,Stunning...,5,Dresses
310,836,41,Cute top,5,Blouses
311,1089,37,Runs large and zipper sticks,3,Dresses
312,844,34,Very unflattering,3,Blouses
313,836,32,Adorable,4,Blouses
314,836,60,Didn't work for me,3,Blouses
315,836,21,Beautiful top!,5,Blouses
316,836,59,Love this blouse,5,Blouses
317,844,53,Lovely printed blouse,5,Blouses
318,936,27,"Love, love, love!",5,Sweaters
319,895,62,Loveee,5,Fine gauge
320,836,41,,5,Blouses
321,831,50,My favorite new blouse,5,Blouses
322,844,54,A standout,5,Blouses
323,895,47,,5,Fine gauge
324,1066,41,Lovely!,5,Pants
325,844,43,Disappointing!,2,Blouses
326,836,43,Better in person,5,Blouses
327,836,23,Cuter is person,4,Blouses
328,907,25,,5,Fine gauge
329,836,51,Airy and flattering,5,Blouses
330,844,41,Awkward fit,3,Blouses
331,1103,49,Beautiful color,4,Dresses
332,866,46,Really good quality tee!,5,Knits
333,907,29,Cute top,5,Fine gauge
334,844,53,Not a good fit,1,Blouses
335,895,66,Cutest vest,5,Fine gauge
336,895,32,,5,Fine gauge
337,1080,74,"Beautiful, vintage feel, delicate beadwork",5,Dresses
338,831,63,Very interesting design,5,Blouses
339,844,41,Fun and flowy,5,Blouses
340,844,40,Beautiful shirt,4,Blouses
341,831,40,Beautiful fabric,5,Blouses
342,836,32,,5,Blouses
343,907,49,"Nice basic piece, will get a lot of wear.",5,Fine gauge
344,844,44,,3,Blouses
345,895,24,,5,Fine gauge
346,895,70,Soft patterned long vest,5,Fine gauge
347,907,30,Great piece,5,Fine gauge
348,844,47,Beautiful and timeless,5,Blouses
349,836,27,"Cute top, but not for me",3,Blouses
350,844,36,So disappointed! please fix it!,2,Blouses
351,844,69,Ruffled buttondown,4,Blouses
352,844,52,"Exquisite blouse, runs huge",5,Blouses
353,936,32,Sweater not a coat,2,Sweaters
354,907,37,Soft sweater,5,Fine gauge
355,936,32,,5,Sweaters
356,831,42,Could have been cute...,1,Blouses
357,907,51,Worth the sale price,5,Fine gauge
358,862,34,Almost but not quite,3,Knits
359,836,37,"Nice, runs small and short",3,Blouses
360,936,50,Amazing sweatercoat!,4,Sweaters
361,895,36,Great piece for layering,5,Fine gauge
362,836,65,Cute but ...,3,Blouses
363,580,60,Nice thin sweatshirt,5,Lounge
364,895,46,That special lauer,5,Fine gauge
365,862,38,Comfy and cute,4,Knits
366,862,37,Looks better when tried on; very cute,5,Knits
367,844,46,"Romantic print, elegant & beautiful - i love it!",5,Blouses
368,836,29,,2,Blouses
369,895,39,Positively agree,5,Fine gauge
370,836,25,,5,Blouses
371,895,64,Love the print & style,5,Fine gauge
372,895,57,So cool,5,Fine gauge
373,895,44,Modern black and white,5,Fine gauge
374,836,44,Subdued sexy,5,Blouses
375,859,26,So sexy,4,Knits
376,862,37,Just okay,3,Knits
377,1049,48,One of my favorite pieces for night,5,Pants
378,862,35,,5,Knits
379,1089,67,Elegant and eye-catching,5,Dresses
380,1089,24,Work-appropriate lace,4,Dresses
381,1104,59,Poor quality,3,Dresses
382,127,47,Soft and cozy,4,Lounge
383,1104,42,Looks are deceiving,3,Dresses
384,936,29,Terrific sweater with great detail; runs large,5,Sweaters
385,902,54,Pretty/different style,4,Fine gauge
386,995,41,Poorly executed,2,Skirts
387,936,62,Beautiful!,5,Sweaters
388,127,29,Great with leggings!,4,Lounge
389,1104,38,Bad quality.,1,Dresses
390,1086,25,Flattering and fun!,4,Dresses
391,936,33,Love love love!,5,Sweaters
392,746,34,Lovely fabric but tiny hips,3,Intimates
393,1081,53,"Lovely dress, small top, different color",4,Dresses
394,127,46,Too big/so soft,3,Lounge
395,936,33,Not sure about this one,3,Sweaters
396,127,40,"Comfy, but not made to last",3,Lounge
397,1035,32,Loving these jeans!,5,Jeans
398,902,38,Lovely but runs big,4,Fine gauge
399,995,62,Possibly the cutest skirt ever!,5,Skirts
400,1104,35,,5,Dresses
401,1089,34,Classic,5,Dresses
402,1086,26,,3,Dresses
403,902,31,,2,Fine gauge
404,902,58,Sweet little top,5,Fine gauge
405,1094,40,Comfortable and dressy,5,Dresses
406,1086,22,Not the best quality,3,Dresses
407,936,55,"Soft, feminine, versatile",5,Sweaters
408,1036,66,Stylish option good for petites,4,Jeans
409,936,39,Sweet casual,5,Sweaters
410,1094,30,A perfect investment,5,Dresses
411,1094,53,This dress is gorgeous!,5,Dresses
412,1086,23,"Great dress, rough zipper",5,Dresses
413,127,37,,5,Lounge
414,127,51,Cute & comfy top,5,Lounge
415,1083,37,Flattering and great buy on sale!,4,Dresses
416,872,35,I love this shirt,5,Knits
417,1083,35,Flimsy,2,Dresses
418,831,40,Super comfy,5,Blouses
419,1080,32,"Pretty pattern, weird fit",3,Dresses
420,1077,68,Easy and stylish,5,Dresses
421,872,65,,4,Knits
422,964,37,Very versatile,5,Jackets
423,1089,39,Small boobies only,3,Dresses
424,872,22,Love the lace up design!,4,Knits
425,1083,50,,5,Dresses
426,829,33,Disappointed,4,Blouses
427,964,33,Very chic,5,Jackets
428,1089,38,,5,Dresses
429,829,32,,5,Blouses
430,829,51,Beautiful and versatile top!,5,Blouses
431,967,56,So pretty and soft,5,Jackets
432,829,38,Great for work or fun,4,Blouses
433,829,35,Perfect shirt for work or night out.,4,Blouses
434,872,48,Flattering tee,4,Knits
435,872,31,,4,Knits
436,149,38,So soft and comfy and fit for yoga!,4,Lounge
437,964,58,Funky and classy,5,Jackets
438,1030,63,Really cute!,5,Jeans
439,964,40,Love. this. jacket.,5,Jackets
440,1083,41,Bunches up weirdly in the front,4,Dresses
441,872,60,Cute top,4,Knits
442,872,60,Red tee,5,Knits
443,829,48,Undecided,4,Blouses
444,872,70,Great casual shirt,4,Knits
445,964,27,So much better irl,5,Jackets
446,1089,32,,3,Dresses
447,872,26,Ultimately unimpressed,3,Knits
448,872,51,Vibrant red color,5,Knits
449,872,48,Love,5,Knits
450,1077,30,Looks fine if you don't move your arms.,2,Dresses
451,967,56,Great plaid!,4,Jackets
452,872,27,In love with this shirt,5,Knits
453,964,44,Perfection.,5,Jackets
454,872,39,Perfect!,5,Knits
455,234,33,,5,Swim
456,149,33,The most comfortable pants ever,4,Lounge
457,829,60,Perfect top for work,4,Blouses
458,829,44,"Overall, i like it, but some sizing issues...",4,Blouses
459,872,71,,5,Knits
460,872,44,,5,Knits
461,850,52,"Very pretty, boho chic",5,Blouses
462,850,23,Great too but not for women who have a large bust.,3,Blouses
463,724,69,Cute slip but very body hugging,4,Intimates
464,833,48,Lovely romantic blouse,5,Blouses
465,862,35,Extra fabric in back adds a lot,5,Knits
466,850,59,,5,Blouses
467,1078,61,Great sweater dress!,5,Dresses
468,850,45,Pretty blouse,5,Blouses
469,1104,25,"Love, love this flattering dress",5,Dresses
470,1078,33,"Cute, but cheap",3,Dresses
471,984,40,Love it.,4,Jackets
472,850,68,Gorgeous top with a hint of pizazz,5,Blouses
473,204,30,Else lingerie jardin silk bralette review,5,Intimates
474,1078,20,Super cute and flattering too,5,Dresses
475,862,42,Poor quality,2,Knits
476,1078,52,Fun dress,5,Dresses
477,984,42,Very cute jacket!,5,Jackets
478,1008,24,Cute but too large,4,Skirts
479,841,43,"Great, but size down.",4,Blouses
480,1104,51,Not for the busty,3,Dresses
481,850,39,Pretty adn flattering,5,Blouses
482,1081,39,Love everything about htis dress,5,Dresses
483,833,39,,4,Blouses
484,850,57,Manette clipdot blouse,4,Blouses
485,862,35,Runs large,4,Knits
486,1078,46,Fun mix of colors in the grey version,5,Dresses
487,850,51,So pretty and great style,5,Blouses
488,850,39,,5,Blouses
489,831,55,Retailer like it used to be!,5,Blouses
490,833,42,Lovely,5,Blouses
491,984,40,Cute jacket,4,Jackets
492,1078,31,For the shorter girls,4,Dresses
493,1104,39,,5,Dresses
494,1081,59,Flattering and comfortable,5,Dresses
495,833,53,Still love it even if...,4,Blouses
496,850,41,Pretty spring flowers,5,Blouses
497,1078,49,,5,Dresses
498,850,33,Boxy,3,Blouses
499,1078,36,"Cute concept, fits weird",2,Dresses
500,850,29,Nice but short,3,Blouses
501,850,49,Pretty top for work days,4,Blouses
502,1078,39,Love this dress,5,Dresses
503,948,40,Itchytown,2,Sweaters
504,850,57,"Feminine, flattering, versatile",5,Blouses
505,833,56,,4,Blouses
506,1078,51,"So cute, but weird fit",3,Dresses
507,850,58,Awesome top,5,Blouses
508,1078,67,"Comfy, cute, and colorful.",4,Dresses
509,1078,36,Best fitting dress,5,Dresses
510,850,27,"Gorgeous, flattering blouse!",5,Blouses
511,948,60,Cropped and itchy,2,Sweaters
512,1078,49,Cute but skip the petite unless you are very short,5,Dresses
513,850,49,Manette clipdot blouse,3,Blouses
514,1081,35,Elegant and well made,5,Dresses
515,833,60,Lovely,5,Blouses
516,1081,53,Well made,5,Dresses
517,850,38,Beautiful blouse; very flattering,4,Blouses
518,850,48,Weird color and fit,2,Blouses
519,850,37,,5,Blouses
520,984,42,Looks better on,5,Jackets
521,850,50,,4,Blouses
522,1104,41,Fun tag sale find,5,Dresses
523,1104,39,,1,Dresses
524,1104,26,Great dress,5,Dresses
525,1078,25,Cute and fun!,5,Dresses
526,850,34,The right kind of casual,5,Blouses
527,850,25,,5,Blouses
528,984,31,Easy jacket,3,Jackets
529,1078,47,Great dress or tunic,5,Dresses
530,984,61,Top coat,5,Jackets
531,850,52,"Love, love, love this tunic!",5,Blouses
532,833,56,Sleeves are really small,3,Blouses
533,1078,68,,3,Dresses
534,850,39,Perfect top!,5,Blouses
535,1081,40,Comfortable and chic,4,Dresses
536,984,53,,5,Jackets
537,850,45,Perfect balance of classy and sexy,5,Blouses
538,850,28,Great top,4,Blouses
539,1104,33,"Cute fit, perfect length",5,Dresses
540,1078,71,Flattering,5,Dresses
541,984,46,,5,Jackets
542,984,56,,5,Jackets
543,1078,36,Cute dress,4,Dresses
544,1104,35,Great fit,5,Dresses
545,984,58,Comfortable and great looking,5,Jackets
546,1078,53,Love this dress!,5,Dresses
547,984,64,Great jacket!,5,Jackets
548,833,45,Beautiful blouse but....,3,Blouses
549,850,44,Feminine and pretty,5,Blouses
550,1078,52,Not a fan - childish,3,Dresses
551,1078,49,,2,Dresses
552,984,52,,5,Jackets
553,850,56,Runs large through the chest...,4,Blouses
554,1078,45,,5,Dresses
555,984,35,Love! my new favorite jacket!,5,Jackets
556,831,38,Lovely blouse!,4,Blouses
557,1086,32,Love the lace detail,4,Dresses
558,1044,39,,5,Pants
559,820,32,Cute,4,Blouses
560,1094,35,Gorgeous dress,5,Dresses
561,1094,34,A must buy!!,5,Dresses
562,995,48,,5,Skirts
563,1094,36,Prety dress that fits true to size,4,Dresses
564,1060,40,"Very nice, just as pictured",5,Pants
565,833,47,,1,Blouses
566,1037,41,Glad i took a chance on these!,4,Jeans
567,875,33,Adorable top!!,5,Knits
568,875,33,Cute top!,4,Knits
569,820,39,Love,5,Blouses
570,1037,54,Comfortable and unique,4,Jeans
571,820,44,,4,Blouses
572,1037,39,,5,Jeans
573,820,24,Fits so well!,5,Blouses
574,833,65,,1,Blouses
575,1094,64,Stunning special occasion dress,5,Dresses
576,833,40,Love this shirt,5,Blouses
577,995,39,"Comfortable, soft",4,Skirts
578,1094,42,Not for us chesty girls!,3,Dresses
579,875,34,Fit is not cute,2,Knits
580,1037,38,,3,Jeans
581,875,29,Do not like the front,2,Knits
582,833,49,Not doing anything for me,3,Blouses
583,1060,39,Not for me,3,Pants
584,1094,48,Cute outfit,4,Dresses
585,835,66,So good,5,Blouses
586,1094,25,Love this dress,4,Dresses
587,1094,36,Classy little dress,4,Dresses
588,875,46,Awkward style,2,Knits
589,823,37,,5,Blouses
590,835,42,Unique piece / boho chic,5,Blouses
591,833,26,My favorite black top.,4,Blouses
592,833,33,Super flattering,5,Blouses
593,820,52,Pretty tank,5,Blouses
594,835,41,Different than the rest !!!,5,Blouses
595,1060,25,Slimmingly perfect!,5,Pants
596,1037,47,Too bad!,3,Jeans
597,820,24,"Very cute, snug fit",4,Blouses
598,1079,32,,3,Dresses
599,1060,44,Surprisingly retro-adorable,4,Pants
600,875,66,Love,5,Knits
601,835,64,Western look,5,Blouses
602,1078,39,Gorgeous quality knit,5,Dresses
603,1037,42,"Wanted to love, but sadly will return.",1,Jeans
604,820,35,Great top!!,5,Blouses
605,1072,59,Lovely but smells like last purchaser's deodorant.,5,Dresses
606,1094,64,Interesting but awkward to actually wear,3,Dresses
607,833,40,"Beautiful, but a few caveats",4,Blouses
608,1037,22,Fun jeggings,4,Jeans
609,1094,53,Loved in theory,3,Dresses
610,995,34,No shape,2,Skirts
611,252,35,,4,Swim
612,634,29,Great casual dress to throw on,4,Lounge
613,985,24,Plaid bomb pairs fabulous with everything fall!,5,Jackets
614,1059,37,Great staple!,5,Pants
615,985,65,Perfect fall jacket,5,Jackets
616,1059,36,Must have,5,Pants
617,634,35,Lounging dress,4,Lounge
618,1059,27,Perfect fit,5,Pants
619,252,36,,4,Swim
620,634,28,Functional casual dress,5,Lounge
621,252,46,Best bathing suit!,5,Swim
622,117,70,,3,Legwear
623,117,57,,5,Legwear
624,634,69,Overpriced but so comfortable,4,Lounge
625,252,28,My new favorite swim suit,5,Swim
626,252,36,Perfect suit,5,Swim
627,634,40,Luxurious sleepwear,4,Lounge
628,1059,80,Please restock!!!,5,Pants
629,838,44,Cute and unique!,4,Blouses
630,252,36,Great suit for busy moms!,5,Swim
631,838,41,Beautiful top,5,Blouses
632,838,48,Boxy and short,1,Blouses
633,634,49,,5,Lounge
634,1059,42,Wanted to love these...but...meh...,3,Pants
635,634,37,Comfy and cute,4,Lounge
636,1008,38,"Vibrant, effortless, beautiful",5,Skirts
637,838,58,,5,Blouses
638,620,47,Very cute and comfortable,4,Shorts
639,634,36,Super comfy,5,Lounge
640,1059,66,Great basic pants!,5,Pants
641,1059,51,Great pant,4,Pants
642,1059,38,Great staple,5,Pants
643,634,40,Beach cover-up,4,Lounge
644,1059,35,,2,Pants
645,634,36,,4,Lounge
646,1059,37,What a waste,1,Pants
647,985,30,,4,Jackets
648,252,35,Wonderful swimsuit,5,Swim
649,1059,48,Gerat pants,5,Pants
650,1059,49,Great pants that don't get baggy,5,Pants
651,252,70,The perfect swimsuit - functional and stunning!,5,Swim
652,1059,40,,5,Pants
653,1059,38,Not what i had hoped for...,2,Pants
654,252,27,Perfection,5,Swim
655,1008,46,Love it!,5,Skirts
656,943,50,Thick and beautiful sweater!,5,Sweaters
657,634,65,"Loungewear, not outdoor wear",2,Lounge
658,1008,22,,5,Skirts
659,252,93,Amazing suit!,5,Swim
660,838,43,Uniform top,5,Blouses
661,1059,67,Perfect 24/7,5,Pants
662,1059,45,Super comfy and great fit!,5,Pants
663,620,42,Great shorts,5,Shorts
664,1059,58,Cute slim pants,5,Pants
665,117,52,Fabulous,5,Legwear
666,252,25,Cute and comfortable swimsuit!,5,Swim
667,252,35,Lacks support,4,Swim
668,634,37,Easy breezy,4,Lounge
669,838,29,Weird fit,2,Blouses
670,1008,29,Cute but didn't work for me :(,3,Skirts
671,1059,47,Cute pants,4,Pants
672,838,25,,5,Blouses
673,634,39,Great price for,5,Lounge
674,1059,30,Great fit,5,Pants
